,city,food_type,latitude,longitude,name,rank,rating,review_count
0,"Vancouver, British Columbia",pho,49.28416,-123.1127,pholicious-vancouver-2,0,4.0,73
1,"Vancouver, British Columbia",pho,49.280732893097,-123.132241982278,pho-goodness-vancouver-2,1,3.5,145
2,"Vancouver, British Columbia",pho,49.2554137,-123.1149178,pho-xe-lua-24-vancouver,2,4.0,71
3,"Vancouver, British Columbia",pho,49.28297,-123.11279,ha-long-bay-vancouver,3,4.0,117
4,"Vancouver, British Columbia",pho,49.2445748,-123.0642461,mui-ngo-gai-vancouver-2,4,4.0,143
,city,food_type,latitude,longitude,name,rank,rating,review_count
0,"Washington, DC",pho,38.9350929260254,-77.0323791503906,pho-viet-washington,0,4.0,571
1,"Washington, DC",pho,38.930646,-77.033999,pho-14-washington,1,4.0,723
2,"Washington, DC",pho,38.8941969403826,-77.0788539337479,pho-75-arlington,2,4.0,1352
3,"Washington, DC",pho,38.89955,-77.02056,pho-88-noodles-and-grill-washington,3,3.5,195
4,"Washington, DC",pho,38.87742,-77.01632,pho-junkies-washington,4,4.5,140
