,city,food_type,latitude,longitude,name,rank,rating,review_count
0,"Minneapolis, Minnesota",pho,44.953094,-93.277728,quang-restaurant-minneapolis,0,4.0,796
1,"Minneapolis, Minnesota",pho,44.96961,-93.27993,lotus-restaurant-minneapolis-3,1,4.5,566
2,"Minneapolis, Minnesota",pho,44.956333,-93.277473,pho-79-minneapolis,2,4.0,283
3,"Minneapolis, Minnesota",pho,44.9530173,-93.2780481,my-huong-kitchen-minneapolis,3,4.5,291
4,"Minneapolis, Minnesota",pho,44.9507294,-93.2775269,pho-tau-bay-minneapolis,4,4.0,183
