,city,food_type,latitude,longitude,name,rank,rating,review_count
0,"Washington, DC",ramen,38.8986,-77.0195899,daikaya-ramen-shop-washington-2,0,4.0,2096
1,"Washington, DC",ramen,38.9216012545356,-77.0420884061516,sakuramen-washington,1,4.0,1273
2,"Washington, DC",ramen,38.9002596732333,-76.9890601862829,toki-underground-washington,2,4.0,1821
3,"Washington, DC",ramen,38.8986,-77.0195899,daikaya-izakaya-washington-8,3,4.0,568
4,"Washington, DC",ramen,38.90843,-77.03219,jinya-ramen-bar-washington-2,4,4.0,150
