,city,food_type,latitude,longitude,name,rank,rating,review_count
0,"New York, New York",ramen,40.7643285462369,-73.9876558773155,totto-ramen-new-york,0,4.0,4532
1,"New York, New York",ramen,40.730922,-73.990167,ippudo-east-village-new-york,1,4.0,9022
2,"New York, New York",ramen,40.763542,-73.986542,ippudo-westside-new-york,2,4.0,2869
3,"New York, New York",ramen,40.749927,-73.977462,momosan-ramen-and-sake-new-york-2,3,4.0,985
4,"New York, New York",ramen,40.72412,-73.98288,minca-new-york,4,4.0,1498
