Category: All categories

Region,ramen: (11/23/16 - 11/23/17),pho: (11/23/16 - 11/23/17)
British Columbia,83,100
Yukon Territory,18,95
Alberta,45,86
Ontario,42,61
Manitoba,24,50
Québec,30,34
Prince Edward Island,9,27
Newfoundland and Labrador,24,11
Saskatchewan,20,22
Nova Scotia,21,22
New Brunswick,14,21
