city,latitude,longitude,name,rank,rating,review_count,noodle_type
Tempe,33.3937812,-111.90858229999999,tampopo-ramen-tempe,3,4.0,456,ramen
Phoenix,33.4587456623854,-112.077205393404,sosoba-phoenix,4,3.5,123,ramen
Portland,45.5214296898768,-122.672522000093,marukin-ramen-portland-2,0,4.0,264,ramen
Portland,45.522407,-122.65937,marukin-ramen-portland,1,4.0,291,ramen
Portland,45.521744,-122.802035,kizuki-ramen-and-izakaya-portland-2,2,4.0,575,ramen
Portland,45.550289899999996,-122.66641000000001,kayos-ramen-bar-portland,3,4.0,184,ramen
Portland,45.516020000000005,-122.65903999999999,afuri-portland-7,4,4.0,296,ramen
San Diego,32.8247046211958,-117.155484105488,rakiraki-ramen-and-tsukemen-san-diego,0,4.0,2227,ramen
San Diego,32.825531,-117.1544185,tajima-ramen-house-san-diego-10,1,4.0,3378,ramen
San Diego,32.83231,-117.14708999999999,menya-ultra-san-diego,2,4.0,521,ramen
San Diego,32.8196793,-117.1499863,nishiki-ramen-san-diego,3,4.0,900,ramen
San Diego,32.8354843938435,-117.189094190625,ramen-yamadaya-san-diego,4,4.0,1158,ramen
San Francisco,37.785233700000006,-122.4315788,marufuku-ramen-san-francisco,0,4.5,604,ramen
San Francisco,37.7866908459856,-122.414326295257,mensho-tokyo-san-francisco-2,1,4.0,1135,ramen
San Francisco,37.763878999999996,-122.47413,izakaya-sozai-san-francisco,2,4.0,1838,ramen
San Francisco,37.786157463801395,-122.430057115853,hinodeya-ramen-bar-san-francisco,3,4.0,423,ramen
San Francisco,37.787259999999996,-122.41037,katana-ya-san-francisco,4,3.5,3863,ramen
St Petersburg,27.7711891382933,-82.6469506323338,buya-st-petersburg,3,4.0,264,ramen
Toronto,43.655,-79.38643,sansotei-ramen-toronto-2,0,4.0,692,ramen
Toronto,43.65634,-79.40689,ramen-isshin-toronto,1,4.5,345,ramen
Toronto,43.65632173139301,-79.377499580039,hokkaido-ramen-santouka-toronto-2,2,4.0,641,ramen
Toronto,43.666819017364205,-79.38546924903271,sansotei-toronto,3,4.0,203,ramen
Toronto,43.6603113,-79.3789004,kinton-ramen-toronto-16,4,4.0,123,ramen
Vancouver,49.290236,-123.13381100000001,hokkaido-ramen-santouka-vancouver,0,4.0,789,ramen
Vancouver,49.2905691,-123.13339509999999,marutama-ramen-vancouver,1,4.0,375,ramen
Vancouver,49.2874959131639,-123.128934167326,ramen-danbo-vancouver,2,4.0,175,ramen
Vancouver,49.263127000000004,-123.11689170000001,hokkaido-ramen-santouka-vancouver-5,3,4.0,90,ramen
Vancouver,49.2803833,-123.11855859999999,yah-yah-ya-ramen-vancouver,4,4.0,68,ramen
"Washington, DC",38.8986,-77.01958990000001,daikaya-ramen-shop-washington-2,0,4.0,2092,ramen
"Washington, DC",38.9216012545356,-77.04208840615159,sakuramen-washington,1,4.0,1270,ramen
"Washington, DC",38.9002596732333,-76.9890601862829,toki-underground-washington,2,4.0,1815,ramen
"Washington, DC",38.8986,-77.01958990000001,daikaya-izakaya-washington-8,3,4.0,565,ramen
"Washington, DC",38.908429999999996,-77.03219,jinya-ramen-bar-washington-2,4,4.0,138,ramen
