city,latitude,longitude,name,rank,rating,review_count,noodle_type
Portland,45.4977027804404,-122.61381271378599,pho-hung-portland,1,4.0,446,pho
Portland,45.5403,-122.57853,pho-oregon-restaurant-portland,2,4.0,472,pho
Portland,45.51892832922339,-122.67607302943001,fresh-roll-vietnamese-street-food-portland-4,3,4.5,315,pho
Portland,45.4850099999821,-122.757044136781,pho-nguyen-portland,4,4.0,142,pho
San Diego,32.8178259166498,-117.155763992829,phuong-trang-san-diego,0,4.0,1692,pho
San Diego,32.75569,-117.09285,pho-hoa-san-diego,1,4.0,832,pho
San Diego,32.7471601,-117.16027509999999,pho-fifth-avenue-san-diego,2,4.0,752,pho
San Diego,32.8305571842402,-117.139001190662,pho-duyen-mai-san-diego,3,4.5,233,pho
San Diego,32.7485625125977,-117.20348791597,pho-point-loma-and-grill-restaurant-san-diego,4,4.0,795,pho
San Francisco,37.763338,-122.477795,pho-huynh-hiep-2-kevins-noodle-house-san-francisco,0,4.0,1371,pho
San Francisco,37.7945505827665,-122.40574255585699,golden-star-vietnamese-restaurant-san-francisco,1,4.0,1067,pho
San Francisco,37.7838859558105,-122.417869567871,pho-2000-san-francisco,2,4.0,619,pho
San Francisco,37.7854958,-122.4130811,pho-tan-hoa-san-francisco,3,4.0,545,pho
San Francisco,37.780772,-122.40568,tín-vietnamese-cuisine-san-francisco-3,4,4.0,1003,pho
Seattle,47.6256,-122.34926000000002,pho-viet-anh-seattle,0,4.0,544,pho
Seattle,47.6169506,-122.3310034,pho-bac-seattle-15,1,4.0,370,pho
Seattle,47.598683,-122.32371200000001,pho-ba-seattle-4,2,4.0,361,pho
Seattle,47.6146521760056,-122.34453300858699,local-pho-seattle,3,4.0,363,pho
Seattle,47.668837642244995,-122.38705422958999,pho-big-bowl-seattle,4,4.0,367,pho
Toronto,43.645539899999996,-79.41896,pho-tien-thanh-toronto,0,4.0,294,pho
Toronto,43.66684,-79.34756,bach-yen-toronto,1,4.5,166,pho
Toronto,43.650079999999996,-79.38897,pho-vistro-toronto,2,4.0,84,pho
Toronto,43.652409999999996,-79.43411,pho-linh-toronto,3,4.0,160,pho
Toronto,43.65449,-79.39928,saigon-lotus-toronto-3,4,4.5,82,pho
Vancouver,49.280732893097,-123.132241982278,pho-goodness-vancouver-2,0,3.5,146,pho
Vancouver,49.28416,-123.1127,pholicious-vancouver-2,1,4.5,71,pho
Vancouver,49.255413700000005,-123.1149178,pho-xe-lua-24-vancouver,2,4.0,71,pho
Vancouver,49.28297,-123.11278999999999,ha-long-bay-vancouver,3,4.0,116,pho
Vancouver,49.244574799999995,-123.06424609999999,mui-ngo-gai-vancouver-2,4,4.0,143,pho
"Washington, DC",38.9350929260254,-77.0323791503906,pho-viet-washington,0,4.0,568,pho
"Washington, DC",38.930646,-77.033999,pho-14-washington,1,4.0,721,pho
"Washington, DC",38.8941969403826,-77.07885393374791,pho-75-arlington,2,4.0,1347,pho
"Washington, DC",38.89955,-77.02056,pho-88-noodles-and-grill-washington,3,3.5,194,pho
"Washington, DC",38.87742,-77.01632,pho-junkies-washington,4,4.5,140,pho
