,food_type,restaurant_count
0,ramen,234
,food_type,restaurant_count
0,ramen,249
,food_type,restaurant_count
0,ramen,430
,food_type,restaurant_count
0,ramen,230
,food_type,restaurant_count
0,ramen,287
,food_type,restaurant_count
0,ramen,1800
,food_type,restaurant_count
0,ramen,144
,food_type,restaurant_count
0,ramen,95
,food_type,restaurant_count
0,ramen,97
,food_type,restaurant_count
0,ramen,1500
,food_type,restaurant_count
0,ramen,177
,food_type,restaurant_count
0,ramen,229
,food_type,restaurant_count
0,ramen,410
,food_type,restaurant_count
0,ramen,880
,food_type,restaurant_count
0,ramen,383
,food_type,restaurant_count
0,ramen,314
,food_type,restaurant_count
0,ramen,306
,food_type,restaurant_count
0,ramen,288
